Id,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,Heating,CentralAir,Electrical,TotRmsAbvGrd,FireplaceQu,ScreenPorch,YrSold,SalePrice
1,60,RL,65,8450,NA,Reg,706,150,856,GasA,Y,SBrkr,8,NA,0,2008,208500
2,20,RL,80,9600,NA,Reg,978,284,1262,GasA,Y,SBrkr,6,TA,0,2007,181500
3,60,RL,68,11250,NA,IR1,486,434,920,GasA,Y,SBrkr,6,TA,0,2008,223500
4,70,RL,60,9550,NA,IR1,216,540,756,GasA,Y,SBrkr,7,Gd,0,2006,140000
5,60,RL,84,14260,NA,IR1,655,490,1145,GasA,Y,SBrkr,9,TA,0,2008,250000
6,50,RL,85,14115,NA,IR1,732,64,796,GasA,Y,SBrkr,5,NA,0,2009,143000
7,20,RL,75,10084,NA,Reg,1369,317,1686,GasA,Y,SBrkr,7,Gd,0,2007,307000
8,60,RL,NA,10382,NA,IR1,859,216,1107,GasA,Y,SBrkr,7,TA,0,2009,200000
9,50,RM,51,6120,NA,Reg,0,952,952,GasA,Y,FuseF,8,TA,0,2008,129900
10,190,RL,50,7420,NA,Reg,851,140,991,GasA,Y,SBrkr,5,TA,0,2008,118000
11,20,RL,70,11200,NA,Reg,906,134,1040,GasA,Y,SBrkr,5,NA,0,2008,129500
12,60,RL,85,11924,NA,IR1,998,177,1175,GasA,Y,SBrkr,11,Gd,0,2006,345000
13,20,RL,NA,12968,NA,IR2,737,175,912,GasA,Y,SBrkr,4,NA,176,2008,144000
14,20,RL,91,10652,NA,IR1,0,1494,1494,GasA,Y,SBrkr,7,Gd,0,2007,279500
15,20,RL,NA,10920,NA,IR1,733,520,1253,GasA,Y,SBrkr,5,Fa,0,2008,157000
16,45,RM,51,6120,NA,Reg,0,832,832,GasA,Y,FuseA,5,NA,0,2007,132000
17,20,RL,NA,11241,NA,IR1,578,426,1004,GasA,Y,SBrkr,5,TA,0,2010,149000
18,90,RL,72,10791,NA,Reg,0,0,0,GasA,Y,SBrkr,6,NA,0,2006,90000
19,20,RL,66,13695,NA,Reg,646,468,1114,GasA,Y,SBrkr,6,NA,0,2008,159000
20,20,RL,70,7560,NA,Reg,504,525,1029,GasA,Y,SBrkr,6,NA,0,2009,139000
21,60,RL,101,14215,NA,IR1,0,1158,1158,GasA,Y,SBrkr,9,Gd,0,2006,325300
22,45,RM,57,7449,Grvl,Reg,0,637,637,GasA,Y,FuseF,6,Gd,0,2007,139400
23,20,RL,75,9742,NA,Reg,0,1777,1777,GasA,Y,SBrkr,7,Gd,0,2008,230000
24,120,RM,44,4224,NA,Reg,840,200,1040,GasA,Y,SBrkr,6,TA,0,2007,129900
